objectid,plazacode,plazaname,concessionairetype,plazatype,city,state,concessionairename,longitude,latitude
1630,545010,Sanawad Toll Plaza,Conc.,State,Indore,Madhya Pradesh,M/s DBL Mundi-Sanawad Tollways,22.166554,76.113996
1631,336008,Kuchadi Toll Plaza,PF,National,Porbander,Gujarat,NHAI,21.69753663,69.53280984
1632,336009,Okhamadi Toll Plaza,PF,National,Dwarka,Gujarat,NHAI,22.08019901,69.13387008
1633,545007,Kherkheda,Conc.,State,Ujjain,Madhya Pradesh,DBL Sitamau-Suwasra Tollways,24.01664,75.393569
1634,345054,Ramnagar,Conc.,National,Shivpuri,Madhya Pradesh,Jhansi Baran Pathways,25.278913,77.614165
1635,314029,Chaukiman Toll Plaza,Conc.,National,Ludhiana,Punjab,Ludhiana -Talwandi Toll Road,30.82474,75.59007
1636,340019,Baswant Toll Plaza,PF,National,Nashik,Maharashtra,NHAI,20.141754,73.9764485
1637,345056,Dagrai Toll Plaza,PF,National,Datia,Madhya Pradesh,NHAI,25.6158907,78.4787578
1638,350032,Komatipalli Fee  Plaza,PF,National,Komatipalli,Telangana,NHAI,18.02173544,79.5
1639,392011,Murma Toll Plaza,PF,National,Ranchi,Jharkhand,NHAI,23.4467255,85.1199769
1640,545016,Tikitoria,Conc.,State,Sagar,Madhya Pradesh,DBL Patan-Rehli Tollways,23.613398,79.087741
1641,545017,Gadaghat,Conc.,State,Sagar,Madhya Pradesh,DBL Patan-Rehli Tollways,23.301857,79.673409
1642,375020,Khamara  Toll Plaza,PF,National,Khamar,Odisha,NHAI,21.249964,85.193065
1643,312027,Badarpur faridabad Toll Plaza,PF,National,Faridabad,Haryana,Badarpur Faridabad Tollway ltd,28.476208,77.305485
1644,556011,Sherewada Toll Plaza,Conc.,State,Kundagol,Karnataka,MITRA INFRA SOLUTIONS,15.260165,75.177026
1645,370023,Guabari Toll Plaza,PF,National,Alipurduar,West Bengal,NHAI,26.476623,89.756542
1646,380023,Bishunpurwa Toll Plaza,PF,National,Motihari,Bihar,NHAI,26.9970148,84.375504
1647,370025,Mejia Toll Plaza,PF,National,Mejia,West Bengal,NHAI,23.537809,87.12463
1648,370026,Kalapathar Toll Plaza,PF,National,Kalapathar,West Bengal,NHAI,23.21784,86.936479
1649,545014,Silwani,Conc.,State,Sagar,Madhya Pradesh,DBL Silwani-Sultanganj Tollway,23.309393,78.45677
1650,545015,Talchiri,Conc.,State,Sagar,Madhya Pradesh,DBL Silwani-Sultanganj,23.751029,78.756334
1651,540011,Airoli,Conc.,State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd,19.153364,72.965778
1652,540012,Mulund(EEH),Conc.,State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd,19.1534,72.9657
1653,540014,Dahisar,Conc.,State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd,19.2587,72.8718
1654,352040,Davaluru,PF,National,Kankipadu,Andhra pradesh,NHAI,16.4125284,80.7880218
1655,556014,Papanashi,Conc.,State,Avadi Somapur,Karnataka,Kesar Investment Securities,15.3582487,75.6863757
1656,370022,Surjapur Toll Plaza,PF,National,Uttar Dinajpur,West Bengal,NHAI,25.933558,87.843381
1657,536012,Vanpari-Paddhari Toll Plaza,Conc.,State,Rajkot,Gujarat,L&T,22.4460011,70.5835058
1658,536013,Soyal Toll Plaza,Conc.,State,Jamnagar,Gujarat,L&T,22.5501006,70.3491712
1659,536014,Jamnagar Bypass-Vadinar,Conc.,State,Jamnagar,Gujarat,L&T,22.4271343,69.9139827
1660,370019,Sulkhapara Fee Plaza,PF,National,Chalsa,West Bengal,NHAI,26.87330556,88.91472222
